web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1657646012-3278,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#8,"https://images-na.ssl-images-amazon.com/images/I/8176vIPgJYL._AC_UL906_SR906,600_.jpg","Bentgo Kids Prints (Camouflage) - Leak-Proof, 5-Compartment Bento-Style Kids Lunch Box – Ideal Portion Sizes for Ages 3 to 7 – BPA-Free and Food-Safe Materials",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Bentgo-Kids-Prints-Camouflage-5-Compartment/dp/B07R2CNSTK/ref=zg_bs_home-garden_8/142-3285647-5902325?pd_rd_i=B07SZHBGZH&psc=1,4.7 out of 5 stars,$28.97 ,"35,254"
1657646009-3252,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#62,"https://images-na.ssl-images-amazon.com/images/I/81SYWl+N1qL._AC_UL906_SR906,600_.jpg","Amazon Basics Glass Locking Lids Food Storage Containers, 14-Piece Set",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/AmazonBasics-Glass-Locking-Storage-Containers/dp/B073ZP5Z2X/ref=zg_bs_home-garden_12/142-3285647-5902325?pd_rd_i=B07HJ115BJ&psc=1,4.5 out of 5 stars,$29.13 ,"25,297"
1657646009-3268,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#78,"https://images-na.ssl-images-amazon.com/images/I/51fFhUnFoiL._AC_UL906_SR906,600_.jpg","JOGJUE Silk Pillowcase for Hair and Skin 2 Pack 100% Mulberry Silk Bed Pillowcase Hypoallergenic Soft Breathable Both Sides Silk Pillow Case with Hidden Zipper, Pillow Cases (Standard, ApricotGray)",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/JOGJUE-Pillowcase-Hypoallergenic-Breathable-ApricotGray/dp/B07S2XV3TG/ref=zg_bs_home-garden_28/142-3285647-5902325?pd_rd_i=B094NS7KFX&psc=1,4.5 out of 5 stars,$29.98 ,"6,403"
1657646012-3282,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#12,"https://images-na.ssl-images-amazon.com/images/I/61JjbuOk7WL._AC_UL906_SR906,600_.jpg","SafeRest Mattress Protector – Twin, Premium, Cotton, Waterproof Mattress Cover Protectors – White",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/SafeRest-Hypoallergenic-Waterproof-Mattress-Protector/dp/B003PWS9AI/ref=zg_bs_home-garden_12/142-3285647-5902325?pd_rd_i=B09MFGF1CJ&psc=1,4.6 out of 5 stars,$29.99 ,"233,234"
1657646012-3285,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#15,"https://images-na.ssl-images-amazon.com/images/I/813jx6CYSJL._AC_UL906_SR906,600_.jpg","Unywarse 50ft Garden Hose Expandable Water Hose, Expanding Garden Pipe with 10 Function Zinc Nozzle, Solid Brass Fittings, Extra Strength Fabric, Lightweight Flexible Yard",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Unywarse-Expandable-Expanding-Function-Lightweight/dp/B09QCMKMHW/ref=zg_bs_home-garden_15/142-3285647-5902325?pd_rd_i=B0B5GSRWLK&psc=1,4.5 out of 5 stars,$30.99 ,"3,179"
1657646012-3275,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#5,"https://images-na.ssl-images-amazon.com/images/I/61Mx4KOz0tL._AC_UL906_SR906,600_.jpg","Mellanni Extra Deep Pocket Twin XL Sheet Set - Luxury 1800 Bedding Sheets & Pillowcases - Fits College Dorm Room Mattress - Ultra Soft Cooling Bed Sheet Set - Easy Care - 3 PC (Twin XL, Baby Blue)",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Mellanni-Extra-Deep-Pocket-Sheets/dp/B08BZY2D1D/ref=zg_bs_home-garden_5/142-3285647-5902325?pd_rd_i=B0B53DWRVW&psc=1,4.5 out of 5 stars,$34.97 ,"293,955"
1657646012-3293,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#23,"https://images-na.ssl-images-amazon.com/images/I/71o2f6QdepL._AC_UL906_SR906,600_.jpg",Intex Dura-Beam Deluxe Comfort Plush Air Mattress Series with Internal Pump,1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Intex-Comfort-Dura-Beam-Internal-Electric/dp/B0869FJCVG/ref=zg_bs_home-garden_23/142-3285647-5902325?pd_rd_i=B08CXZ4CYX&psc=1,4.4 out of 5 stars,$38.37 ,"26,428"
1657646012-3299,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#29,"https://images-na.ssl-images-amazon.com/images/I/61a6vb+BrHL._AC_UL906_SR906,600_.jpg",BLACK+DECKER dustbuster AdvancedClean Cordless Handheld Vacuum (CHV1410L),1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/BLACK-DECKER-Dustbuster-Cordless-CHV1410L/dp/B006LXOJC0/ref=zg_bs_home-garden_29/142-3285647-5902325?pd_rd_i=B006LXOJC0&psc=1,4.5 out of 5 stars,$39.99 ,"74,619"
1657646009-3262,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#72,"https://images-na.ssl-images-amazon.com/images/I/81lRYprVhrL._AC_UL906_SR906,600_.jpg","Linenspa 2 Inch Gel Infused Memory Foam Mattress Topper, Twin, Topper Only",2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Linenspa-Infused-Memory-Mattress-Topper/dp/B01N41IPPI/ref=zg_bs_home-garden_22/142-3285647-5902325?pd_rd_i=B09ZKP2JM1&psc=1,4.5 out of 5 stars,$39.99 ,"88,390"
1657646012-3277,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#7,"https://images-na.ssl-images-amazon.com/images/I/61Fa8VUibcL._AC_UL906_SR906,600_.jpg","Beckham Hotel Collection Bed Pillows for Sleeping - Queen Size, Set of 2 - Cooling, Luxury Gel Pillow for Back, Stomach or Side Sleepers",1,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_1?_encoding=UTF8&pg=1,/Pillows-for-Sleeping-2-Pack/dp/B01LYNW421/ref=zg_bs_home-garden_7/142-3285647-5902325?pd_rd_i=B08LCJHZVJ&psc=1,4.4 out of 5 stars,$42.99 ,"149,770"
